,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
585,Tlahuac,Santiago Zapotitlan,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,53.0,1.0,2,1,780.0,2
586,Benito Juárez,Santa Cruz Atoyac,0.35153771919019605,6.230001723306864,31.695906807823537,6.0718089010264675,20.07138209353137,0.47685406497156857,0.025016822565686277,0.019991669161764702,3.1690900893558824,15.149626544900984,1,0,0,0,1,1,63.0,2.0,2,1,2985.0,1
587,Azcapotzalco,Tecpan 4,0.9620855552931371,5.968981132699999,38.99289950275197,15.501420668195095,20.608398232794126,1.8317819900647065,0.4580969769284314,0.03128954983333333,7.574512784323526,35.21970538103727,1,0,0,0,0,1,83.0,2.0,2,2,1980.0,2
588,Coyoacan,San Diego Churubusco,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,0,0,0,1,1,60.0,2.0,2,2,2686.0,1
589,Alvaro Obregon,Santa Fe,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,1,1,1,51.0,1.0,1,1,4472.0,1
590,Tlahuac,Miguel Hidalgo ,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,1,0,0,0,0,0,60.0,2.0,2,1,1690.0,2
591,Coyoacan,Coapa,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,1,0,1,1,1,88.0,2.0,2,2,3800.0,1
592,Venustiano Carranza,Magdalena Mixiuhca,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,0,0,41.0,1.0,2,0,890.0,2
593,Alvaro Obregon,Los alpes,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,1,1,1,79.0,1.5,1,2,4654.946,1
594,Alvaro Obregon,Santa Fe,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,0,1,1,209.0,3.0,3,3,12900.0,3
595,Xochimilco,San Lorenzo,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,1,1,87.0,2.0,3,2,2600.0,1
596,Coyoacan,Culhuacán,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,0,0,0,0,0,129.0,2.0,3,1,2400.0,2
597,Tlalpan,Miguel Hidalgo,1.3941458683697558,4.602689024080001,40.26138523512779,16.530820592212198,27.882697736545353,3.7141190714112198,3.909596218551706,0.07706095023365855,6.2242938469975595,36.76328842288293,1,1,0,0,1,0,124.0,2.0,2,1,2150.0,2
598,Gustavo A. Madero,Mártires de Río Blanco,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,0,60.0,1.0,2,0,980.0,2
599,Tlalpan,Fuentes de Tepepan,1.3941458683697558,4.602689024080001,40.26138523512779,16.530820592212198,27.882697736545353,3.7141190714112198,3.909596218551706,0.07706095023365855,6.2242938469975595,36.76328842288293,1,1,0,0,1,1,109.0,2.0,2,2,3850.0,1
600,Gustavo A. Madero,Lindavista Norte,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,1,0,90.0,2.0,3,1,796.847,2
